Length,Matches_2,Matches_3,Matches_4,Matches_5,Matches_6,Matches_7,Matches_8,Matches_9,Matches_10,Matches_11,Matches_12,Matches_13,Matches_14,Matches_15,Matches_16,Matches_17
3,9,4,7,6,8,9,9,3,3,2,1,1,3,0,0,2
4,23,7,8,3,2,1,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
