start,end,segment_name
0.000,1.000,Seg#1_Tonalitate_f#_minor
1.000,5.000,Seg#2_Tonalitate_A_major
5.000,13.000,Seg#3_Tonalitate_f#_minor
13.000,17.000,Seg#4_Tonalitate_E_major
17.000,25.000,Seg#5_Tonalitate_f#_minor
25.000,29.000,Seg#6_Tonalitate_C#_major
29.000,37.000,Seg#7_Tonalitate_B_major
