start,end,segment_name
0.000,0.500,Acord_1_forte_class_8-22A_above_A#
0.500,1.000,Acord_2_B-Spanish_phrygian
1.000,1.500,Acord_3_forte_class_7-25B_above_B
1.500,2.000,Acord_4_B-Neapolitan_pentachord
2.000,2.500,Acord_5_forte_class_9-9_above_F#
3.000,3.500,Acord_6_C#-Spanish_phrygian
