time_bin,count
0.0,7
1.0,4
2.0,4
3.0,4
4.0,4
5.0,7
6.0,5
7.0,4
8.0,4
9.0,8
10.0,5
11.0,4
12.0,4
13.0,5
14.0,5
15.0,6
16.0,4
17.0,6
18.0,5
19.0,4
20.0,4
21.0,4
22.0,4
23.0,4
24.0,4
25.0,7
26.0,6
27.0,4
28.0,0
29.0,5
30.0,2
31.0,2
32.0,6
33.0,5
34.0,5
35.0,4
